감정_대분류,사람문장
상처,아파서 병원에 갔는데 내가 돈이 없어 보였는지 진료를 안 받는다고 해서 황당해.내 모습이 병원비도 못 낼 정도로 보이나?내일 다시 돈 들고 병원에 찾아가서 한마디 해야겠어.
상처,딸이 나에게 신장이식을 해주기로 결정했는데 부모가 되어서 면목이 없어.딸에게 도움이 되는 엄마이기는커녕 아픈 내가 너무 싫다.딸과 전화통화를 해야겠어.
슬픔,힘들게 빚을 갚았는데 공부를 하지 못한 내가 너무 후회되고 슬퍼.초등학교 졸업하자마자 돈 벌기 시작해서 공부를 하지 못했어. 너무 후회돼.강의를 신청해서 영어회화 공부를 해보려고 해.
슬픔,나는 지금까지 주위 사람들의 말에 휘둘려 내 뜻대로 살지 못해서 후회돼. 내가 하고 싶은 것들을 하며 살걸.주위 사람들 때문에 하고 싶던 일들을 하지 못한 게 제일 슬프네.이제라도 내가 하고 싶은 거 먹고 싶은 거 내 뜻대로 살아야겠어.
슬픔,너무 비통하다.오늘 건강 검진 받았는데 병 걸린적도 없는데 암에 걸렸어. 내일부터 몸 관리 좀 해야겠어.
상처,나이가 들어서 와이프가 더 이상 운동을 못하게 하더라고. 내가 다치는 일이 잦아서 그런 것 같아.물론 알지. 근데도 하고 싶은걸 어떻게 해. 마음이랑 몸이랑 다른 것도 서글픈데.그렇지 그걸 찾아봐야겠지. 좀 가벼운 운동으로 찾아볼 예정이야.
당황,이번에 또 건물주가 월세를 올렸어.병원비랑 같이 감당이 안 되는데 큰일이야.이제까지 드는 생활비를 절약해봐야지.
불안,아픈 사람들을 보면 나도 언제라도 병들 수 있다는 생각이 들어. 그 생각을 하면 무척 두려워.지금은 건강하지만 나도 그 사람들처럼 아플 수 있으니까. 걱정스러워.오늘부터라도 좀 걸으면서 건강관리에 신경을 써야겠어.
분노,아파트 재활용 수거함에서 폐지를 줍고 있는데 노인정에서 노인들이 나를 이상하게 쳐다봤어.나를 폐지 줍는 노인이라고 동정의 눈빛으로 바라보아서 너무 수치스러웠어.오늘은 폐지를 주워서 받은 돈으로 좋아하는 커피 한 잔을 사 마셔야겠어.
분노,노인정 실내에서 담배 좀 안 피웠으면 좋겠어.냄새도 그렇고 건강에도 안 좋으니까 더 화가나.밖에 흡연 통을 갖다놓고 노인정 사람들과 애기를 해서 흡연구역을 만들어야겠어.
불안,딸이 슬퍼할까 봐 내 낡은 구두랑 기워 입은 옷을 보여줄 수가 없어.딸도 힘들 텐데 내 사정을 말해야 할지 말아야 할지 모르겠어.아무래도 내 힘닿는 데까지 해보고 그 다음에 딸에게 말하는 게 좋겠지.
기쁨,이 동네의 내 또래 노인들은 다 성격이 유쾌해서 지내기가 너무 좋아.내일도 옆집 정원이 할머니랑 놀러 가기로 했어.
당황,사람들과 함께 있다가 집에 돌아오면 혼자라는 기분에 우울증에 걸릴 것 같아.자식들도 남편도 없고 어두운 집에 혼자 있으면 고립된 느낌이야.인공지능 스피커라도 하나 들여놓을까 생각 중이야. 계속 대화를 할 수 있잖아.
슬픔,앞으로 올래 살 날이 남지 않았어.암이 많이 퍼져서 이제 몆 달 남지 않았다고 하네.잘 케어해오고 있다 생각했는데 그게 아니었어.
불안,경로당에서 큰 맘 먹고 구매한 건강식품이 아무 효과가 없다는데 환불이 안 된다니 불안해.현금으로 구매하게 했어. 알고 보니 사기꾼이더라고. 잡아야 그나마 뭐라도 얻을 텐데 못 잡을 거 같아.다른 경로당이란 경로당은 다 전화해서 그 놈 나타나면 잡아놓으라 했지. 꼭 잡아야 해 그 놈.
기쁨,며느리 덕분에 나도 모르게 신이 나서 산책을 너무 오래 했지 뭐야.며느리가 어제 허리 찜질이랑 마사지를 해줬는데 통증이 사라져서 걷기가 너무 편해.집으로 들어가는 길에 며느리에게 줄 선물을 사 가곤 했어. 이번에도 선물을 사 가야지.
불안,체중 때문에 식단조절 중인데 마음대로 먹질 못하니 성격이 예민해져.식단조절을 좀 무리해서 하고 있는데 스트레스가 너무 커지는 것 같아.먹는 양을 조금 늘리고 대신 운동을 더 많이 해야겠어.
상처,치매로 자식들이 요양원에 보내놓고 잘 찾아오지 않으니 혼자 고립된 느낌이야.자식들이 요양원에 보낼 때 자주 온다고 하더니만 일 년에 한 번 밖에 안 와.자식들에게 전화해서 보고 싶다고 오라고 해봐야겠어.
슬픔,큰 아들이 이혼을 한다고 해. 너무 슬퍼.결혼생활이 평탄하지가 않다는데 이렇게 될 때까지 그것도 모르고 있었다는 게 미안하고 슬퍼.아들을 만나서 위로해주고 나는 언제나 너의 선택을 믿고 존중한다고 얘기해줘야겠어.
슬픔,세상 사는 게 힘들어서 죽고 싶다는 생각이 들어.맞아. 요즘 사는 게 너무 힘들어.주변 사람들을 보면 죽고 싶다는 생각이 사라지기는 해. 활발하게 주변 사람들을 만나야겠어.삶의 의지가 생기고 기댈 친구들도 만들 수 있을거야.
슬픔,티브이 방송에서 영양제 광고를 한 게 있어서 샀는데 먹어보니 효과가 별로라 실망했어.나이가 들어가니까 건강을 챙겨야 할 것 같아서 샀는데 돈만 버린 것 같아.우선은 환불 신청했고 다른 영양제를 찾아보려고 해.다음에는 가까운 데 있는 약사 선생님과 이야기하면서 영양제 골라야지.
불안,요즘은 무릎은 너무 시큰거려서 관절염에 걸린 게 아닐까 걱정돼.관절염에 걸리면 주사도 맞아야 하고 오랫동안 관리도 잘 해줘야 해서 관절염 걸린 게 아니었으면 좋겠는데.병원에 가봐야겠어. 가서 확인하고 관절염이면 빠르게 치료받고 다행히 관절염이 아니면 지금부터라도 관절에 좋은 스트레칭을 해야겠어.
상처,수술비 때문에 친구에게 빌려준 돈을 받기로 했는데 안주는 친구에게 배신감과 상처를 받아.수술비를 내일까지 내야 되는데 친구가 빌린 돈을 갚지 않아 아들이 내주고 갔어.수술 끝나면 계속 연락해서 미루지 말고 돈 갚으라고 따져야지.
상처,삼십 년 넘게 일한 회사에서 권고사직을 당했어.그동안 앞만 보고 열심히 한 게 누구를 위해서였나 싶네.
분노,은퇴하고 잠도 제대로 못 자. 푹 자고 싶은데 와이프가 자꾸 아침 운동을 가자고 깨워.맞아. 운동이 싫은 게 아닌데 더 자고 싶어.운동을 가는 시간을 조금 늦춰 보자고 설득할 거야.
상처,장기 이식을 받기엔 너무 큰 돈이 필요해서 그냥 약으로 버티는 중이야.돈이 없어서 치료도 제대로 못 받는다 생각하니 너무 억울해.잘 모르겠어. 방법이 없는 것 같아.
상처,박 사장이 이자까지 주겠다면서 돈을 빌려 가놓고 결국 하나도 갚지 않았어.결국 박 사장이 그렇게 세상을 떠버렸으니 빌려준 돈을 받기는 글렀지. 허무해 정말.결국 죽음 앞에서는 장사 없다고 나도 욕심부리지 말고 지금에 감사하며 살아야지.
상처,나는 그런 사람이 아닌데 마을 사람들이 나를 괴팍한 할머니로 생각해 상처 입었어.안 그래도 혼자 지내면서 외로운데 그런 오해까지 받아 슬프네.최대한 긍정적으로 행동하고 건강하게 살아야겠어.마을 사람들이 나를 괴팍하다고 여기지 않았으면 해.
상처,내 치료비에 대해 막내딸에게 말했는데 형편이 좋지 않아 어렵다고 거절했어.저번에 첫째 딸 사위가 도와줘서 또 부탁하려니 차마 입이 안 떨어져.일단 첫째 딸에게 먼저 말해서 의논해봐야겠어.
기쁨,경로당에서 함께하는 노인들이 다 유쾌해서 좋아.응. 다들 너무 재밌고 유쾌해서 시간 가는 줄 몰라.노래도 부르고 건강 체조도 하고 화투도 치고 그래.
상처,남편이 치료비 문제로 나에게 심한 소리를 했어. 안 그래도 아픈데. 그 말들이 잊히지 않아.아픈 곳은 이제 다 나았어. 하지만 마음의 상처는 아직도 아물질 않아딸이 있는데 딸이랑 주말에 여행을 다녀오려고. 다 잊고 싶어.
상처,얼마 전에 친구들과 만났는데 내가 친구들에게 돈을 너무 아낀다고 싸움이 났다가 다신 안 보게 됐어.내가 항상 돈을 아껴 쓰는 습관이 친구들에겐 상처였나 봐.멀어지기 직전엔 싸움이 나니까 나도 너무 무작정 화만 냈어. 다시 만나서 진지하게 대화해서 풀고 싶어.
당황,내가 병에 걸려서 아내가 떠나. 근데 내가 위자료를 줘야 한대서 당황스러워.내가 떠나는 것도 아니고 나를 아내가 떠나는 마당에 내가 위자료를 줘야 한다니. 혼란스러워.대화가 많이 필요한 부분인 것 같아. 대화를 충분히 나눠봐야겠어.
상처,마을 사람들은 다들 내가 노망난 줄 아는데 사실 난 정말 건강해.날이 갈수록 나를 이상하게 생각해서 걱정이야.일단 마을 사람들 한 명씩 만나서 개인적으로 대화를 해 봐야겠어.
불안,직장 생활동안 죽을 듯이 일했는데 내 통장엔 잔액이 없어.잔액이 없어서 어떻게 해야 할지 너무 혼란스러워.
슬픔,수면 내시경 없이 그냥 위내시경을 받았는데 너무 무서웠어.다시는 수면 내시경이 아닌 위내시경을 하고 싶지 않아.다음부턴 수면 내시경을 선택해야겠어.
불안,오랜만에 딸이랑 통화를 했는데 애가 목소리에 기운이 하나도 없네. 걱정되게.잘 지내고 있는 건지 모르겠어. 요즘 너무 무리하는 건 아닌지.아무래도 집에 찾아가봐야겠어.
슬픔,큰딸이 나랑 같은 고혈압으로 고생하고 있는걸 보자니 내 탓인 것 같아 마음이 아파.큰딸에게 나처럼 더 큰 합병증이 생기진 않을까 비통해.큰딸과 함께 운동과 식이요법을 시작해 봐야겠어.
상처,요양원에서 함께 생활하던 사람들이 하나둘씩 세상을 뜨는 걸 보니까 두렵고 힘들어.나도 요양원에서 저렇게 세상을 떠날 것 생각하니 가슴이 답답하고 눈물이 날 것만 같아.남아 있는 시간이라도 잘 지내면서 덤덤하게 받아들이도록 해봐야겠어.
당황,딸이 결혼할 때 내 수술비까지 털어서 좋은 혼수를 해주었더니 재정적으로 부담이 돼.사돈집에 기죽지 않으려고 좋은 혼수를 해주었지만 그로 인해 내 병원비가 부족한 상황이야.부족한 병원비를 메우기 위해서 내가 더 노력해서 돈을 벌 거야.
분노,어제 내가 친구에게 말실수해서 바로 사과했는데 친구 기분이 풀어지지 않은 것 같아. 어쩌면 좋을지 모르겠어.친구에게 나의 진심을 전달하고 친구 마음이 풀릴 때까지 기다려야겠어.
당황,내가 앓고 있는 병 때문에 치료비가 많이 나와 당황스러워.돈이 없어서 자식들이 병원비를 내주고 있는데 짐이 되기 싫어 치료를 중단할까 고민 중이야.아무래도 그렇지.
슬픔,시한부를 선고받았어. 우울해.가족들 앞에서는 태연한 척했지만 굉장히 슬프고 당황스러워.가족들에게는 말을 못 하겠어. 친구한테 연락해 볼래.
불안,정년 날짜가 코앞으로 다가왔어. 근데 아직 제대로 노후 준비를 못 한 것 같아서 걱정이야.나름 모아둔다고 모아뒀지만 부족하게 되면 자식들에게 의존하게 될까 봐 걱정되고 미안해.퇴직 전까지 내가 모을 수 있는 최대한 모아야겠어. 자식들에게 피해가 가지 않게 말이야.
기쁨,딸이 내 건강을 위해 안마기를 사줬어! 너무 신나고 기뻐.사용해봤더니 너무 시원하고 좋아. 딸에게 고맙다고 말하고 싶어.오늘 저녁에 맛있는 밥을 차려줘야겠어.
당황,근처 슈퍼마켓 주인이랑 자주 싸웠었는데 주인이 아파서 가게를 접는대.조금 미안하면서도 당황스러워.한 번쯤 병문안을 가서 그동안 미안했다고 말해야겠어.
분노,경로당 친구랑 사이가 나빠졌어. 그 친구가 있으면 경로당에 가도 마음이 불편해.내가 자기를 욕했다고 오해하는 것 같아. 내 말은 듣지 않고 무시해서 기분이 나빠.내일 경로당에 가면 먼저 이야기를 꺼내 봐야겠어.
분노,왜 늙으면 돈 걱정을 벗어나지 못할까.아픈 것도 없는데 계속 돈 걱정 만 해서 너무 화가 나.
불안,수술해도 완치가 보장되는 것이 아닌데 수술을 받아야 할지 고민돼.살날도 많지 않은 것 같고 확실하지 않은 수술 때문에 앞으로 살아갈 가족들에게 부담이 되고 싶지 않아.일단은 잠이나 자면서 쉬려고.
불안,남편이 아파서 병간호를 해왔는데 결국 나도 병에 걸렸어. 이제 어떻게 해야 하는지 불안해.앞으로 남편의 병간호도 그렇고 내 몸도 어떻게 해야 할지 너무 걱정돼.자식들에게 솔직하게 지금 상황을 이야기하고 도움을 받을 수 있는 부분은 도움을 요청해야겠어.
당황,내가 지금까지 약을 잘못 먹었네.영양제인 줄 알았는데 혈압약이었어.앞으론 영양제를 먹을 거야. 그리고 혹시 몰라서 병원에도 갈 거야.혹시라도 다른 부작용이 있는지 알아보기 위해서야.
기쁨,건강 때문에 걱정했는데 그나마 믿어주는 사람이 있어서 다행이야.친구들과 잘 지내기 위해서 좀 더 건강에 주의할 거야.
기쁨,지점장이 무슨 일이 생기더라도 나를 믿어줘서 너무 다행이야.맞아. 사업을 하며 오랫동안 한 지점에서 거래를 해온 덕분이지.신뢰를 잘 유지해야지.
상처,내가 받은 보험금이 있거든. 이걸 아들이 탐내. 너무 가슴이 아파.앞으로 아들을 어떻게 믿고 같이 살아야할 지 괴로워.일단 남아있는 금액을 내 개인연금에 전부 집어넣고. 아들과 속애기를 해보고 싶어.
상처,오늘 아내에게 너무 억울해.아내에게 받은 용돈으로 열심히 비상금을 모았는데 고스란히 뺏겼어.
불안,수술을 하는데 큰 돈이 들어 그냥 거절했어.내가 살면 얼마나 살겠나 싶어서 거절했지만 사실은 두렵고 불안해.수술을 다시 고려해 봐야겠어. 돈도 중요하지만 생명도 중요하니까.
당황,전원주택을 산 친구가 부러워서 나도 더 큰 집을 샀는데 다시 팔려고 해.나는 항상 주위 사람들이 멋있어 보이면 그것을 따라 해서 걱정이야.내 예산과 취향에 맞는 소비습관을 들이도록 노력해야겠어.내가 쓸 수 있는 예산이 얼마나 되는지 파악하는 것부터 해야겠어.
기쁨,오늘 꿈을 꿨는데 내가 아파서 자식들이 울었어.꿈 꾸고 나니 난 내가 아픈 것 때문에 자식들한테 폐를 끼치기 싫어졌어.지금부터라도 건강관리를 해야겠어.
슬픔,회사 일은 힘들지 않은데 사람 상대 하는게 아직도 버거워.나이가 들어도 사람 관계가 힘들고 지쳐서 일을 그만두고 싶을 정도야.
기쁨,보험을 여러 개 들어두길 잘했어 덕분에 병원비 부담이 줄어서 기뻐.보험료를 낼 땐 부담됐었는데 이렇게 돌아오는 걸 보니 한편으론 기뻐.마음 가볍게 치료를 받을 수 있게 됐어.
불안,요즘 내가 왜 이러나 싶어.같이 일하는 박 씨가 나랑 똑같은 질병을 가지고 있는데 나보다 일하는 속도가 빨라.역시 너 밖에 없어.
상처,돈을 많이 못 쓰니 친구도 없고 그러네.돈 잘 쓰는 사람이 친구도 많지.돈을 안 쓰고도 사귈 수 있는 친구를 찾아봐야겠어.
당황,내 친구놈이 또 술병이 났네.환갑이 넘은 녀석이 무슨 술을 저리 마시나. 한심하네.
불안,죽을 때가 되니 자식들이 재산 가지고 싸울까 봐 걱정이야.공정하게 똑같이 나눠줄 생각이야.
불안,건강이 안좋으니 두려워.내일 병원가서 상담 받을거야.아내를 업고 병원까지 달려야겠어. 제발 아무 이상이 없었으면 좋겠어.
불안,치매가 왔는지 건망증이 너무 심해졌어.요즘들어 너무 심해져서 치매라는 생각이 들어.일단 병원에서 검사를 받아봐야겠어.
당황,남편과 함께 병원에 가기로 했는데 혼자 가게 되어서 당황스러워.남편이 같이 가준다고 했는데 출장이 잡혔대. 어쩔 수 없지만 조금 당황스럽고 서운해.맞아. 혼자 가게 된 건 슬프지만 어쩔 수 없었으니 괜찮아.
당황,퇴원 후 집에서 아내가 몸을 씻겨주는데 살이 빠져서 뼈가 앙상한 내 몸이 보기 싫네.옛날엔 그래도 어느 정도 몸이 좋았었는데. 지금은 아니야.이제 병원 신세도 끝났으니 다시 몸을 한번 만들어 봐야겠어.
당황,다른 노인들에 비해 내가 능력이 없는 거 같아 나는 기분이 좋지 않아.다른 노인들은 외부활동도 하고 돈도 버는데 나는 집에서 누워만 있어.문화센터에 가서 노인들이 배워서 활용할 수 있는걸 찾아봐야겠어.
기쁨,나는 친구들과의 관계가 너무 좋아.내가 리더십이 있고 성격도 화끈하니깐 그렇지.
불안,오늘 엄마한테 형과 비교당했어. 너무 상처를 받아서 우울해.형보다 공부를 잘하지는 못하지만 그래도 형이랑 비교당하는 건 정말 속상해. 나는 나잖아.나이 먹은 게 죄지 뭐. 종종 사진이라도 보내주면 좋을텐데 서운함이 가시질 않네.
불안,이 나이 먹고 돈 걱정할 줄이야.자식들 결혼 때문에 돈 나갈 일이 많은데 돈이 없어 걱정이야.취업을 해야하는데 이 나이에 할 수 있을까?
기쁨,당뇨가 있어서 약을 십 년 넘게 먹고 있어. 이번에 병원에 갔더니 부작용으로 신부전증이 온 거야.내가 예전부터 걱정이 돼서 부작용 없는 약으로 달라고 했는데 너무 화가 나.약 먹는 일이 보통 힘든 게 아니야. 그래서 너무 힘들어.
상처,나는 늘 내 의견을 굽히면서 살아왔어.한 번쯤은 나도 당당하게 의견을 말해 보고 싶어.
당황,자식들에게 병원비를 부탁했는데 다들 싫어하는 눈치야. 너무 당황스러워.미리 재산을 나눠준 게 문제였던 걸까? 세상에 나 홀로 외톨이가 된 기분이야.자식들을 불러 재산을 미리 나눠준 의미를 분명히 밝히고 병원비를 당당하게 요구할 거야.
분노,아내가 너무 나약하게 구는 것 같아서 화가 나. 한마디 했다고 또 우는 것 보니 더 화가 나.우울증은 일하고 바쁘게 살면 사라지니까 아내한테 울지 말라고 조언했더니 화를 내는 거야.아직 화가 안 풀리긴 했는데 그래도 아내랑 밥 먹으면서 마음 풀라고 얘기해야지.내 입장을 말하면서 앞으로 내가 함께 돕겠다고 해야겠어.
기쁨,일흔의 나이까지 건강하게 살고 있는 나에게 자식들이 여행을 보내줬어.오랜만에 여행을 와서 신이 났어. 너무 기뻐.여행 계획을 세워서 여행을 알차게 보내야겠어.
기쁨,너무 행복해. 언니가 식재료를 또 보내줬어.내가 고혈압이 있는 걸 알고 이번 달에도 식재료를 보내준 거야. 너무 고맙다.꼼꼼하게 날 챙겨주는 것이 너무 기쁘고 감사해. 앞으로 언니에게 더 잘해주어야겠어.조만간 불러서 맛있는 밥 만들어주든가 해야지.
분노,진짜 옆집 김 영감 때문에 짜증이나.자기가 나보고 몸이 왜 그렇냐고 따지니깐.
기쁨,요즘에는 나가는 지출이 적어 남은 돈으로 저축을 하고 있어 무척 기쁘고 뿌듯해.다행히 몸도 건강하고 돈이 나갈 곳도 적어서 그럴 수 있는 것 같아.앞으로도 이렇게 무탈하게 저축을 할 수 있는 환경이 유지되었으면 좋겠다.
슬픔,요즘은 남은 인생을 어떻게 살아야 하는지 많이 고민돼. 허무하기도 하고.나 같이 인생을 고민하는 사람이 있겠지. 그런데 주변에서는 찾기가 힘들어.
슬픔,요즘 허리가 아파서 등산을 못 다니게 되어서 슬퍼.매주 주말이면 등산을 하면서 좋은 경치도 보고 좋은 공기도 마시면서 좋았었는데 속상하네.예전에 등산 갔을 때 찍었던 사진을 보면서 기분전환을 해야겠어.
불안,동네 병원 간호사는 항상 쌀쌀맞아. 접수하러 왔다고 하기도 겁나고 무서워.사람이 많아 바빠서 그런지 항상 기분이 나쁜 거 같아. 바쁜 시간대를 피해야 하나 봐.바쁘지 않은 오전이나 평일에 다시 한 번 가봐야겠어.
기쁨,자식들은 언제나 내가 필요할 때 돈을 보내줄 것이라고 생각해.내가 우리 아이들 어려울 때마다 도와줬으니까 내가 어려우면 당연히 도와줘야지.자식들이 다 인성이 착해서 그런 걱정은 하지 않아도 돼.
기쁨,열심히 노력하며 살아왔기에 모두가 나를 인정하는 것 같아서 기뻐.이 인정을 그대로 유지하고 싶은데 어떻게 해야 할까?사람들에게 믿음을 줬는데 앞으로도 그러려고 노력해야겠어.
당황,나는 죽고 싶지 않아서 안절부절못하는데 나와 달리 마음의 여유가 있고 긍정적인 친구가 부러워.나도 마음의 여유를 갖고 살고 싶네.친구에 대한 부러운 감정을 인정하고 어떻게 하면 마음의 여유가 생길 수 있는지 물어보고 싶어.나도 그 친구처럼 삶의 여유를 찾을 수 있겠지?
기쁨,로또에 당첨됐어.나에게도 이런 날이 생기는구나.
슬픔,내게 돈이 많았다면 지금의 내 모습은 과연 어땠을까?내가 돈이 많았다면 적어도 지금 이렇게 우울하게 살지는 않았을 거야. 좀 더 재밌게 살았을 거야.꼭 그런 건 아니지만 돈 있는 사람들의 이야기를 들으니 그런 생각이 들어.
상처,손자가 백혈병에 걸렸다는 얘기를 들었어. 너무 슬퍼.아직 너무 어린데 백혈병이라니 하늘이 무너지는 기분이야.어떤 지원도 아끼지 않고 다 할 거야. 간호도 열심히 할 거야.
기쁨,멀리 살던 아들 부부가 집 근처로 이사 온다네. 너무 기쁘네.가까이 오면 손주들에게 선물을 사주고 싶어.손녀라서 예쁜 드레스를 선물하고 싶어
상처,항암치료로 고생하는 남편을 지켜볼 수 밖에 없어. 너무 마음이 아파.간병하는 사람이 정신을 차려야 하는데 자꾸 안 좋은 생각만 들어.힘들어도 힘든 내색 안하고 남편에게 힘을 실어 줘야지.
상처,노년에 어렵게 구한 일자린데 아프다고 그만 나오라고 하니 심란하네.돈을 벌어야 약값이든 생활비든 쓸 수 있는데 이제 어떻게 해야 하나.당장 정식으로 취직하기는 힘들 것 같아서 일용직이라도 찾아봐야 할 것 같아.
기쁨,투병생활을 오래 하다가 집으로 돌아오니 마음이 편안하군.일상의 소중함을 많이 느껴. 일상을 잃어버린 환자들을 위로하고 싶어.나는 바이올린을 잘 켜니 병원에 재능 기부를 할 수 있나 문의해야겠어.
분노,금 시세가 좋다고 하는데 가진 금을 팔지 금을 더 사서 모을지 고민이야.은 시세도 좋다고 해서 은도 사서 모을까 생각 중이야.은괴의 경우에는 금은방보다는 은행에서 판매하는 은괴를 구입하는 게 안전하다고 생각해.
상처,아내는 내가 두통으로 고통을 호소할 때 꾀병이라고 생각해.아내는 왜 내가 꾀병을 부린다고 생각할까?정말 아프다는 걸 진지하게 말해야겠어.
기쁨,나이 드니 몸도 아프고 매사에 짜증이 나서 누구한테 믿음도 안 가고 그랬거든.응. 그런데 최근에 너무 친절하고 신뢰 가는 사람을 알게 됐어.응. 동네 편의점 주인인데 늘 친절해.
슬픔,아들을 유학 보내고 나니 있을 때 더 잘해줄 걸 하는 생각이 드네.응 지난주에 출국했어.유학 전에 좋은 카메라를 사달라고 했었는데 내가 들어주질 않았거든.
기쁨,노래자랑에서 대상을 수상하여 상금을 받았어.대상이랑 상금 둘 다 너무 행복하다.상금을 어디에다가 쓸지 고민 중이야. 행복하다.
당황,내 주위에 안타까운 일이 있었어.친구 아들 일이야. 부모덕에 그만큼 성장해놓고 이제는 부모님 편찮으신데 찾아오지도 않는 걸 보니 매우 혐오스럽기까지 하더군.
상처,내가 기립성 저혈압이 있어서 일어날 때 마다 어지러워서 방문을 잡고 있었는데 아내가 나더러 엄살을 피우지 말라 하네.아내는 내가 남자이다 보니 그런 것쯤은 참을 수 있다 생각하나 봐. 이제 늙어서 젊을 때랑은 많이 다른데도.아내한테 내 아픔을 자세히 얘기해주어야겠어.
슬픔,돈은 많이 벌어두었지만 자식도 손자도 아내도 없어서 이 돈을 혼자 쓸 곳이 없어 쓸쓸해.돈을 버느라 곁을 보지 못하고 너무 앞만 보고 살아 온 거 같아.주변에 가난한 사람들에게 돈을 베풀면 쓸쓸함이 채워지지 않을까?
불안,은퇴하고 아픈 곳은 없지만 두려워.모아놓은 돈이 없어서 재정적으로 두려워.늦었지만 지금부터라도 일을 찾고 돈을 벌어 모아야겠어.
불안,요즘 이런저런 생각 때문에 힘들어.결국 인생은 다 똑같은 것이라는 생각이 드니까 별로 살고 싶은 마음이 없네.삶에 의미가 없어서 그런 것 같아. 의미있는 일이 생겼으면 좋겠어.삶에 아무런 자극이 없어서 그런 것 같아. 내일부턴 새로운 변화를 줘야겠어.
불안,내가 나이가 드니까 정말 인생이 초조해지기 시작했어.그냥 운동이나 책이라도 읽으면서 초조한 인생을 즐기면서 살려고.
분노,남편이 아주 말을 안 들어. 비 오는 날에 복지관에 간다니.오늘은 좀 안가면 덧나나? 내 말 좀 들었으면 좋겠다.비 오는 날에 왜 가면 안 되는지 설득해야겠어.
당황,병원에서 받은 종합검사 결과 내가 폐암이라는 진단이 나왔어.  나는 담배를 피워본 적도 없고 아무 증상도 없었는데 너무 당황스러워.수술하면 완치가 가능하다고 하니 당장 수술하기로 했어.
기쁨,나 코로나인 줄 알았는데 그냥 독감이었어. 다행이고 기뻐.코로나였으면 어쩔 뻔했어. 실은 저번에 모임에서 잠깐 마스크를 벗었거든.외출하면 절대로 마스크를 벗지 않을 거야.
슬픔,돈도 없는데 몸까지 아프니까 너무 서러워서 눈물이 나.맞아. 난 지금껏 뭘 위해 산 건지 회의가 들어.친구나 만나서 수다 떨어야겠어.
슬픔,요즘 식욕이 떨어지고 불면증으로 괴로워.부동산으로 돈을 벌었다는 친구들이 여럿 있는데 난 그동안 뭐 했나 싶어. 평생직장 다니고 알뜰하게 저축했는데 치솟은 아파트 가격을 보면 너무 허탈해.남과 비교해서 나 자신을 비참하게 생각하지 않고 현재의 삶을 만족하고 감사하며 살아야겠어.
기쁨,이번에 몸 상태가 좋아져서 노인정에서 하는 설맞이 잔치에 드디어 가볼 수 있게 돼서 기뻐.작년 추석 때는 몸이 안 좋아서 갈 수가 없었거든. 이번에 처음 가게 돼서 너무 기뻐.옆집 할머니한테 전화해서 같이 가자고 해야겠어.
당황,친구 중에 중풍을 앓고 있는 애도 오피스텔 관리인인데 왜 나는 일자리가 안 구해지는지 의문이야.왜 그럴까 너무 속상하고 자꾸 친구가 부러워져.주변 사람들에게 일자리 있는지 물어보고 적극적으로 일자리를 찾을거야!
슬픔,나 요즘 슬픈 일이 있어.남편이 바람을 피워서 마음이 슬프고 힘드네.남편과 관계를 어떻게 회복해야 할지 모르겠어.
기쁨,내 재정 상태를 믿어.응. 저축을 미리 해뒀거든.많진 않지만 걱정하진 않아도 돼.
당황,건강했던 어제 친구가 갑자기 죽었어. 믿기지 않고 혼란스러워.정말 그런 것 같아. 나는 질병이 있는데 이렇게 살아있는데 말이야.
기쁨,자식들이 자라서 결혼도 하고 손자들까지 봐서 이제 정말 여한이 없어.이번 생에 정말 만족해. 앞으로 큰 탈도 없을 거고 평온한 기분이야.응. 오늘 저녁에도 자식들이 저녁을 먹으러 온다네.
슬픔,오늘은 내 생일! 선물은 기대도 안 했는데 전화 한 통 없는 아들한테 너무 서운해.전화 올 때까지 기다려야 하나?아들에게 전화하는 편이 좋겠어.
슬픔,갑자기 보일러가 고장이 나서 어떻게 해야 하는지 며느리에게 전화했어.며느리는 돈 달라는 줄 알고 짜증 섞인 목소리로 전화를 받더라고. 너무 서럽고 눈물이 났어.
기쁨,내년에 정년퇴직을 하고 집에서 편안히 지내다 보면 만성피로는 금방 나을 것이라고 생각해.내 만성피로 때문에 아내가 많이 걱정하고 있거든. 난 이제 좀 쉬게 되면 괜찮을 것 같은데.오늘 아내랑 산책하면서 많은 이야기를 나눠봐야겠어.
당황,자식들이 나의 도움을 거절하자 당황스러워서 아무런 생각도 들지 않아.자식들에게 아주 어려운 일을 부탁한 것도 아닌데 단칼에 도움을 거절하자 느끼는 상심이 컸어.앞으로 자식들에게 의존하기보다는 자기 계발을 해서 나 스스로 문제를 해결해야겠어.
슬픔,노인정에 있을 때 당뇨에 좋다고 해서 영양제를 구입했는데 알고 보니 사기였어.자식이 챙겨준 용돈으로 산 건데 당뇨에는 도움이 안 되는 약이래.종합 비타민이니까 일단은 챙겨 먹어봐야겠어.
슬픔,날이 갈수록 요통이 심해져서 바른 자세로 앉지 않았던 것이 후회가 돼.젊을 때는 하루 이틀 아프다 말았는데 나이가 드니 요통이 너무 심해서 힘이 들어.병원을 다니면서 물리치료를 받고 평소에도 바른 자세로 앉도록 이제라도 신경 써야겠어.
